id,question,context,expected_answer
1,What is cryptocurrency?,Cryptocurrency is a type of digital or virtual currency that uses cryptography for security and operates on a decentralized network called blockchain.,Cryptocurrency is a type of digital or virtual currency that uses cryptography for security and operates on a decentralized network called blockchain.
2,How does blockchain work?,"Blockchain is a distributed ledger technology that records transactions across multiple computers in a secure, transparent, and tamper-resistant manner.","Blockchain is a distributed ledger technology that records transactions across multiple computers in a secure, transparent, and tamper-resistant manner."
3,What is Bitcoin?,"Bitcoin is the first and most well-known cryptocurrency, created in 2009 by an unknown person or group of people using the pseudonym Satoshi Nakamoto.","Bitcoin is the first and most well-known cryptocurrency, created in 2009 by an unknown person or group of people using the pseudonym Satoshi Nakamoto."
4,Explain the concept of mining in cryptocurrency.,Mining is the process by which transactions are verified and added to the public ledger (blockchain). Miners use powerful computers to solve complex mathematical puzzles.,Mining is the process by which transactions are verified and added to the public ledger (blockchain). Miners use powerful computers to solve complex mathematical puzzles.
5,What is a smart contract?,A smart contract is a self-executing contract with the terms of the agreement directly written into code. It automatically enforces and executes the terms when conditions are met.,A smart contract is a self-executing contract with the terms of the agreement directly written into code. It automatically enforces and executes the terms when conditions are met.
6,How does Ethereum differ from Bitcoin?,"Ethereum is a decentralized platform that enables the creation of smart contracts and decentralized applications (DApps), distinguishing it from Bitcoin.","Ethereum is a decentralized platform that enables the creation of smart contracts and decentralized applications (DApps), distinguishing it from Bitcoin."
7,What is decentralized finance (DeFi)?,"Decentralized finance (DeFi) refers to the use of blockchain-based systems to recreate and improve upon traditional financial systems, such as lending and borrowing.","Decentralized finance (DeFi) refers to the use of blockchain-based systems to recreate and improve upon traditional financial systems, such as lending and borrowing."
8,How to buy Bitcoin?,"To buy Bitcoin, one can use cryptocurrency exchanges where users can trade traditional currencies for Bitcoin. It's stored in a digital wallet.","To buy Bitcoin, one can use cryptocurrency exchanges where users can trade traditional currencies for Bitcoin. It's stored in a digital wallet."
9,What are altcoins?,"Altcoins are alternative cryptocurrencies to Bitcoin. Examples include Ethereum, Ripple, Litecoin, and many others.","Altcoins are alternative cryptocurrencies to Bitcoin. Examples include Ethereum, Ripple, Litecoin, and many others."
10,Explain the role of nodes in a blockchain network.,Nodes are computers in a blockchain network that participate in maintaining and validating the network. They store a copy of the blockchain and communicate with other nodes.,Nodes are computers in a blockchain network that participate in maintaining and validating the network. They store a copy of the blockchain and communicate with other nodes.
